HIP,RAhms,DEdms,Vmag,RA(ICRS),DE(ICRS),Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,e_RAdeg,B-V,e_B-V,V-I,e_V-I,SpT
93899,19 07 13.50,+20 52 40.2,10.76,286.80626789,20.87782548,112.82,2.41,-481.05,1.68,-333.38,2.59,1.41,1.57,0.015,2.52,0.06,M2          
60559,12 24 51.83,-18 14 12.0,11.28,186.21595803,-18.23667929,112.52,2.51,1095.9,2.12,-2307.48,1.34,2.11,1.574,0.017,2.31,0.01,M4          
108706,22 01 12.88,+28 18 24.5,11.99,330.30365718,28.30681743,111.57,3.19,372.11,2.76,36.48,3.38,2.44,1.718,0.02,2.92,0.05,            
27072,05 44 27.97,-22 26 51.0,3.59,86.11656241,-22.44748663,111.49,0.6,-292.42,0.43,-368.45,0.44,0.38,0.481,0.011,0.57,0.02,F7V         
47103,09 36 01.55,-21 39 30.2,10.91,144.00645894,-21.65839234,111.41,1.99,137.17,1.45,-989.54,1.38,1.36,1.572,0.014,2.35,0.02,K           
56528,11 35 27.00,-32 32 16.4,9.81,173.86248684,-32.53790001,110.65,1.81,-69.85,1.67,-852.54,1.34,1.44,1.489,0.004,2.15,0.02,M2V         
17378,03 43 14.96,-09 45 54.7,3.52,55.81231706,-9.76519868,110.58,0.88,-91.71,0.98,742.23,0.92,0.74,0.915,0.018,0.94,0.02,K0IV        
55360,11 20 09.03,+65 50 45.7,9.31,170.03762202,65.84603892,109.95,1.11,-2946.7,0.98,184.52,0.88,0.81,1.412,0.018,1.7,0.05,M1Vvar      
66906,13 42 43.35,+33 17 30.6,12.03,205.68061204,33.29182156,109.89,3.18,-111.47,2.61,-706.72,2.01,2.15,2.4,0.495,2.85,0.55,M:          
82724,16 54 31.73,-62 24 00.8,11.85,253.63222815,-62.40023361,109.57,20.12,294.47,13.96,205.48,13.79,13.91,1.729,0.4,2.16,0.46,Mp          
40501,08 16 08.20,+01 18 08.7,10.08,124.03417002,1.30242701,109.23,1.79,-375.01,2.17,60.11,1.49,1.58,1.51,0.01,2.15,0.08,            
64394,13 11 52.92,+27 52 33.7,4.23,197.97051117,27.87603769,109.23,0.72,-801.94,0.63,882.7,0.46,0.54,0.572,0.006,0.67,0.04,G0V         
57939,11 52 55.82,+37 43 58.1,6.42,178.23256802,37.73280827,109.21,0.78,4003.69,0.66,-5813,0.44,0.6,0.754,0.009,0.88,0.02,G8Vp        
15457,03 19 21.54,+03 22 11.9,4.84,49.83974536,3.36997055,109.18,0.78,268.88,0.77,93.53,0.68,0.66,0.681,0.006,0.73,0.02,G5Vvar      
105858,21 26 26.49,-65 22 05.3,4.21,321.61038385,-65.36814438,108.5,0.59,81.08,0.37,800.68,0.39,0.33,0.494,0.02,0.61,0.02,F6V         
57443,11 46 32.25,-40 30 04.8,4.89,176.63436255,-40.50133452,108.23,0.7,-1531.69,0.5,403.41,0.52,0.47,0.664,0.004,0.73,0.02,G3/G5V      
23512,05 03 20.22,-17 22 20.8,11.71,75.83426652,-17.3724529,107.86,2.95,-226.25,2.47,-447.88,2.25,2.21,1.661,0.02,2.76,0.06,K:          
23932,05 08 34.74,-18 10 07.1,10.28,77.14473389,-18.1686451,107.3,2,503.75,1.24,-1400.17,1.45,1.26,1.52,0.013,2.64,0,M5          
29277,06 10 19.63,+82 06 36.0,10.48,92.58180602,82.11000311,106.43,1.44,50.26,1.24,-1336.86,1.22,1.12,1.514,0.014,2.18,0.11,M3          
21932,04 42 55.37,+18 57 39.2,9.95,70.73070762,18.96088078,106.16,2.51,659.83,3.15,-1114.72,2.05,2.43,1.523,0.025,2.25,0.19,M2          
9724,02 05 04.04,-17 36 51.2,10.19,31.26683543,-17.61420901,105.94,2.04,1317.53,1.74,-173.94,1.37,1.43,1.514,0.02,2.35,0.01,M3          
9786,02 05 48.91,-30 10 36.8,12.15,31.45378802,-30.17689282,105.64,3,-527.75,3.2,100.08,2.1,2.41,1.719,0.032,2.93,0.09,K:...       
