   spec_id                                kic             teff          err_teff           logg          err_logg        feh            err_feh           afe            err_afe       ch              err_ch         nh             err_nh         dnu             err_dnu       numax         err_numax      mass          err_mass         age                       err_age
          20150602-NGC6811_1-13-154       10025321      5051.1196289     82.5002518        3.0755701      0.0961366     -0.0179300      0.0606680       -0.0069380      0.0337748     -0.1666660      0.0668828      0.2088250      0.0820549     10.4361801      0.0114600    128.7895966      1.2302500      1.6449959      0.0946682       2.1201200000000000       0.5722900000000000  

 20151001-KP194045N483045V04-07-053       10026795      4594.4418945    168.7574768        2.0239799      0.1935730     -0.1429792      0.1109589       -0.0404277      0.0558999     -0.2238340      0.1232950     -0.0120969      0.1284350      5.0535402      0.0147700     48.7572517      0.4671400      1.2530009      0.1196989       6.1465300000000003       2.4587500000000002  

 20130914-KP194045N483045V02-07-096       10027735      4969.5346680     84.0755997        2.9421899      0.1026150     -0.2620879      0.0614121        0.0457592      0.0331059     -0.3101790      0.0676783     -0.2524270      0.0858747      9.3358097      0.0145700    106.1792374      1.1630900      1.3467290      0.0868398       3.5286900000000001       0.8234090000000000  

 20130914-KP194045N483045V02-07-133       10028634      4974.3066406     74.5821838        2.9298699      0.0774279     -0.1143873      0.0537649        0.0106055      0.0277236     -0.2142150      0.0517317     -0.0166791      0.0726087      8.2860403      0.0108300     93.2823334      1.2566299      1.4945625      0.1018276       2.6782699999999999       0.5978990000000000  

  20131025-KP195920N454621V3-15-175       10030807      4965.4526367     77.7048874        3.0481701      0.0911694     -0.0750690      0.0603249        0.0131450      0.0334863     -0.1536120      0.0661085      0.0035901      0.0803054     11.4240904      0.0191100    136.0135040      0.9657000      1.2750674      0.0656212       4.6065300000000002       0.8718390000000000  

 20151003-KP195920N454621V04-15-041       10034889      5044.7968750     92.2555084        2.7261300      0.0746673     -0.5671676      0.0529412        0.0949422      0.0271054     -0.3419500      0.0580979     -0.4845170      0.0731452     11.6599503      0.0640400    148.1039429      1.2792300      1.5378532      0.1158192       2.7138700000000000       0.6316990000000000  

 20140502-KP185111N464417V01-03-102       10053392      4550.7968750    101.5446167        2.8173299      0.0791488      0.4075584      0.0547712        0.0550198      0.0283938      0.4006370      0.0594312      0.6477370      0.0744146      7.1867099      0.0121500     75.2412033      0.8537500      1.1246879      0.0835344       9.9033899999999999       3.0664199999999999  

 20140502-KP185111N464417V01-03-121       10053414      4483.7070313    110.3839340        2.4825001      0.0642774      0.3689794      0.0535440        0.0666092      0.0294443      0.3133390      0.0575789      0.6088710      0.0692493      4.4012299      0.0102000     41.1971207      0.7984800      1.2771007      0.1332582       6.8567000000000000       2.7300900000000001  

 20140502-KP185111N464417V01-03-117       10053594      4764.5996094     87.3738556        2.7716501      0.0686747      0.3951530      0.0528190        0.0756830      0.0265219      0.4211090      0.0544557      0.6667520      0.0729362      8.3371801      0.0161400     92.7073135      0.8070600      1.3163478      0.0807806       4.7880799999999999       1.4378400000000000  

 20151006-KP185111N464417V04-04-025       10055196      4664.9355469     93.0982971        2.9617100      0.0798964      0.4249704      0.0573166        0.0273464      0.0299856      0.3262810      0.0604722      0.7937440      0.0746844      8.7959805      0.0183800    104.9475403      1.4267300      1.4479659      0.1145023       4.4877200000000004       1.3009400000000000  

 20140529-KP185111N464417V03-04-051       10057222      4523.7050781    106.0155945        2.7226400      0.0742695      0.1272791      0.0541504        0.0419976      0.0267704      0.0962631      0.0523187      0.3165800      0.0736003      5.2537298      0.0139600     50.8578911      0.3775900      1.1907312      0.0810355       7.4532600000000002       1.9420200000000001  

 20140529-KP185111N464417V03-04-074       10057670      4603.9179688    106.6806717        2.6696601      0.0658307     -0.2257238      0.0538656        0.2383820      0.0293854     -0.1055110      0.0568480     -0.2128250      0.0706905      5.3882599      0.0117500     49.8672409      0.5162800      1.0442369      0.0778369      11.2942000000000000       2.8703900000000000  

 20140529-KP185111N464417V02-13-030       10063071      4586.6318359    127.4469604        3.0165701      0.1315040      0.1973441      0.0717459        0.0762819      0.0381536      0.2232430      0.0779403      0.3219900      0.0920506     16.7744694      0.0945400    219.5116272      1.3586600      0.9549626      0.0790634      15.5812000000000010       2.9407899999999998  

 20140529-KP185111N464417V03-13-028       10063214      4599.8222656    102.8272629        3.0244000      0.0864439      0.1340599      0.0599830        0.0431176      0.0308207      0.0827551      0.0640764      0.2791460      0.0804450     12.7922697      0.0218900    158.9023132      0.8723900      1.0644499      0.0605108      10.7271000000000000       2.8411900000000001  

 20140520-KP192314N471144V01-10-008       10066053      4604.5229492    184.7877655        3.0168099      0.2460980      0.4001060      0.1362007        0.0522410      0.0660050      0.3709580      0.1436390      0.6540760      0.1526610     10.4131498      0.0223900    122.0648117      0.8861400      1.1244878      0.1018528      10.0695000000000000       3.3699400000000002  

 20151002-KP192314N471144V03-10-019       10066275      4861.6938477     93.5589218        2.8807700      0.1100590     -0.2245346      0.0622964        0.2048480      0.0351859     -0.0767442      0.0715849     -0.1157950      0.0871646     11.3742104      0.0356200    138.3367310      1.8883400      1.2927557      0.1064503       5.2316599999999998       1.5987499999999999  

 20150520-HD190126N465605V01-13-066       10067407      4864.0913086     78.1530380        2.5098600      0.0812610     -0.3557113      0.0578875        0.0837149      0.0300287     -0.3487710      0.0610970     -0.3367630      0.0744690      3.9435201      0.0147200     34.8141098      0.5118100      1.4039731      0.1167200       3.0462699999999998       0.8463820000000000  

